tool,db_layout,workload,strategy,N_or_K,n_reps,prefetch_time_us_med,prefetch_time_us_min,prefetch_time_us_max,n_prefetch,n_syscalls
prefetch_layers,vacuum,ALL,layers_57,57,3,9.94,9.57,10.71,57,57
prefetch_layers,vacuum,ALL,layers_58,58,3,10.03,9.51,10.34,58,58
prefetch_layers,vacuum,ALL,layers_59,59,3,10.37,9.91,10.58,59,59
prefetch_layers,vacuum,ALL,layers_6,6,3,2.01,1.47,2.06,6,6
prefetch_layers,vacuum,ALL,layers_60,60,3,10.14,9.99,10.64,60,60
prefetch_layers,vacuum,ALL,layers_61,61,3,10.34,10.12,19.21,61,61
prefetch_layers,vacuum,ALL,layers_62,62,3,10.42,10.28,11.17,62,62
prefetch_layers,vacuum,ALL,layers_63,63,3,10.60,10.53,14.56,63,63
prefetch_layers,vacuum,ALL,layers_64,64,3,10.71,10.34,11.44,64,64
prefetch_layers,vacuum,ALL,layers_65,65,3,10.85,10.24,11.78,65,65
prefetch_layers,vacuum,ALL,layers_66,66,3,10.79,10.55,10.89,66,66
prefetch_layers,vacuum,ALL,layers_67,67,3,11.42,11.33,11.88,67,67
prefetch_layers,vacuum,ALL,layers_68,68,3,11.01,10.15,12.13,68,68
prefetch_layers,vacuum,ALL,layers_69,69,3,11.42,11.22,12.09,69,69
prefetch_layers,vacuum,ALL,layers_7,7,3,2.27,2.06,2.31,7,7
prefetch_layers,vacuum,ALL,layers_70,70,3,11.79,11.66,11.93,70,70
prefetch_layers,vacuum,ALL,layers_71,71,3,12.11,11.78,12.25,71,71
prefetch_layers,vacuum,ALL,layers_72,72,3,12.27,12.00,12.52,72,72
prefetch_layers,vacuum,ALL,layers_73,73,3,12.62,12.09,12.81,73,73
prefetch_layers,vacuum,ALL,layers_74,74,3,12.43,12.28,12.62,74,74
prefetch_layers,vacuum,ALL,layers_75,75,3,12.75,12.20,13.01,75,75
prefetch_layers,vacuum,ALL,layers_76,76,3,12.68,12.63,13.59,76,76
prefetch_layers,vacuum,ALL,layers_77,77,3,12.80,12.70,13.02,77,77
prefetch_layers,vacuum,ALL,layers_78,78,3,13.05,12.77,13.35,78,78
prefetch_layers,vacuum,ALL,layers_79,79,3,13.21,12.95,14.84,79,79
prefetch_layers,vacuum,ALL,layers_8,8,3,1.85,1.73,2.23,8,8
prefetch_layers,vacuum,ALL,layers_80,80,3,13.26,12.95,14.21,80,80
prefetch_layers,vacuum,ALL,layers_81,81,3,13.29,12.95,13.63,81,81
prefetch_layers,vacuum,ALL,layers_82,82,3,13.75,13.31,14.25,82,82
prefetch_layers,vacuum,ALL,layers_83,83,3,13.65,13.22,13.94,83,83
prefetch_layers,vacuum,ALL,layers_84,84,3,14.56,14.03,17.00,84,84
prefetch_layers,vacuum,ALL,layers_85,85,3,14.27,14.12,14.32,85,85
prefetch_layers,vacuum,ALL,layers_86,86,3,14.08,13.39,14.58,85,85
prefetch_layers,vacuum,ALL,layers_87,87,3,14.48,13.66,14.53,85,85
prefetch_layers,vacuum,ALL,layers_88,88,3,14.07,13.75,14.51,85,85
