tool,db_layout,workload,strategy,N_or_K,rep,prefetch_time_us,n_prefetch,n_syscalls
prefetch_layers,vacuum,ALL,layers_8,8,1,2.23,8,8
prefetch_layers,vacuum,ALL,layers_8,8,2,1.85,8,8
prefetch_layers,vacuum,ALL,layers_8,8,3,1.73,8,8
prefetch_layers,vacuum,ALL,layers_9,9,1,2.22,9,9
prefetch_layers,vacuum,ALL,layers_9,9,2,2.42,9,9
prefetch_layers,vacuum,ALL,layers_9,9,3,1.99,9,9
prefetch_layers,vacuum,ALL,layers_10,10,1,2.56,10,10
prefetch_layers,vacuum,ALL,layers_10,10,2,2.42,10,10
prefetch_layers,vacuum,ALL,layers_10,10,3,2.21,10,10
prefetch_layers,vacuum,ALL,layers_11,11,1,2.38,11,11
prefetch_layers,vacuum,ALL,layers_11,11,2,2.42,11,11
prefetch_layers,vacuum,ALL,layers_11,11,3,2.85,11,11
prefetch_layers,vacuum,ALL,layers_12,12,1,3.24,12,12
prefetch_layers,vacuum,ALL,layers_12,12,2,2.52,12,12
prefetch_layers,vacuum,ALL,layers_12,12,3,2.48,12,12
prefetch_layers,vacuum,ALL,layers_13,13,1,3.06,13,13
prefetch_layers,vacuum,ALL,layers_13,13,2,2.87,13,13
prefetch_layers,vacuum,ALL,layers_13,13,3,2.75,13,13
prefetch_layers,vacuum,ALL,layers_14,14,1,2.88,14,14
prefetch_layers,vacuum,ALL,layers_14,14,2,3.32,14,14
prefetch_layers,vacuum,ALL,layers_14,14,3,2.62,14,14
prefetch_layers,vacuum,ALL,layers_15,15,1,3.4,15,15
prefetch_layers,vacuum,ALL,layers_15,15,2,3.44,15,15
prefetch_layers,vacuum,ALL,layers_15,15,3,3.17,15,15
prefetch_layers,vacuum,ALL,layers_16,16,1,3.2,16,16
prefetch_layers,vacuum,ALL,layers_16,16,2,3.12,16,16
prefetch_layers,vacuum,ALL,layers_16,16,3,3.08,16,16
prefetch_layers,vacuum,ALL,layers_17,17,1,3.26,17,17
prefetch_layers,vacuum,ALL,layers_17,17,2,3.99,17,17
prefetch_layers,vacuum,ALL,layers_17,17,3,3.59,17,17
prefetch_layers,vacuum,ALL,layers_18,18,1,3.77,18,18
prefetch_layers,vacuum,ALL,layers_18,18,2,3.68,18,18
prefetch_layers,vacuum,ALL,layers_18,18,3,3.97,18,18
prefetch_layers,vacuum,ALL,layers_19,19,1,3.94,19,19
prefetch_layers,vacuum,ALL,layers_19,19,2,3.78,19,19
prefetch_layers,vacuum,ALL,layers_19,19,3,3.51,19,19
prefetch_layers,vacuum,ALL,layers_20,20,1,3.62,20,20
prefetch_layers,vacuum,ALL,layers_20,20,2,3.82,20,20
prefetch_layers,vacuum,ALL,layers_20,20,3,3.77,20,20
prefetch_layers,vacuum,ALL,layers_21,21,1,4.32,21,21
prefetch_layers,vacuum,ALL,layers_21,21,2,3.79,21,21
prefetch_layers,vacuum,ALL,layers_21,21,3,4.2,21,21
prefetch_layers,vacuum,ALL,layers_22,22,1,4.82,22,22
prefetch_layers,vacuum,ALL,layers_22,22,2,4.25,22,22
prefetch_layers,vacuum,ALL,layers_22,22,3,4.46,22,22
prefetch_layers,vacuum,ALL,layers_23,23,1,4.22,23,23
prefetch_layers,vacuum,ALL,layers_23,23,2,4.25,23,23
prefetch_layers,vacuum,ALL,layers_23,23,3,4.43,23,23
prefetch_layers,vacuum,ALL,layers_24,24,1,4.65,24,24
prefetch_layers,vacuum,ALL,layers_24,24,2,4.29,24,24
prefetch_layers,vacuum,ALL,layers_24,24,3,4.21,24,24
prefetch_layers,vacuum,ALL,layers_25,25,1,4.52,25,25
prefetch_layers,vacuum,ALL,layers_25,25,2,5.25,25,25
prefetch_layers,vacuum,ALL,layers_25,25,3,4.81,25,25
prefetch_layers,vacuum,ALL,layers_26,26,1,5.18,26,26
prefetch_layers,vacuum,ALL,layers_26,26,2,4.98,26,26
prefetch_layers,vacuum,ALL,layers_26,26,3,5.09,26,26
prefetch_layers,vacuum,ALL,layers_27,27,1,5.31,27,27
prefetch_layers,vacuum,ALL,layers_27,27,2,5.2,27,27
prefetch_layers,vacuum,ALL,layers_27,27,3,4.59,27,27
prefetch_layers,vacuum,ALL,layers_28,28,1,4.96,28,28
